NetworkId,AuthorId,FullName,AffiliationName,TotalPublications,TotalCitations,FirstYear,gender_only,intersectional,race_ethnicity,AuthorGender
0,9522859,mila kryjevskaia,North Dakota State University,1,42,2013,0,0,0,True
1,10485675,michele g wheatly,West Virginia University,1,23,2013,1,0,0,True
2,15232934,carol colatrella,Georgia Institute of Technology,1,79,2006,7,0,1,True
3,28949107,erika marinspiotta,University of Wisconsin-Madison,6,33,2010,3,1,2,True
4,35950822,nana oseikofi,Oregon State University,1,5,2019,7,1,6,True
5,39964958,kerry k karukstis,,4,19,2010,2,0,0,True
6,41207434,janis p terpenny,,1,2,2009,0,0,1,True
7,52377311,jill m bystydzienski,Ohio State University,1,67,2015,21,3,0,True
8,56787795,ashli j sheidow,Medical University of South Carolina,1,1,2018,5,0,0,True
9,57944164,erika g offerdahl,,2,43,2013,1,0,0,True
10,58797248,rhonda c magel,North Dakota State University,2,2,2013,1,0,0,True
11,66115545,judith k ockene,University of Massachusetts Medical School,1,2,2019,95,2,3,True
12,70032249,cynthia k riemenschneider,Baylor University,1,9,2010,7,1,1,True
13,77015719,dafna gelbgiser,,2,162,2013,9,0,3,True
14,78364912,canan bilengreen,North Dakota State University,15,28,2010,6,1,1,True
15,78915436,elizabeth litzler,,2,10,2007,7,2,8,True
16,80964880,donna sollie,,2,1,2010,0,0,0,True
17,92265852,corinna schlombs,,1,3,2015,1,0,0,True
18,103281186,emily polander,Wright State University,1,23,2013,0,0,0,True
19,113207831,ellen m broido,Bowling Green State University,1,19,2019,14,0,1,True
20,115937147,cali l anicha,North Dakota State University,8,25,2012,3,0,0,True
21,122506583,rebecca richardskortum,,1,0,2008,3,0,2,True
22,137592113,jeffrey e froyd,Ohio State University,2,8,2017,0,0,0,False
23,141713694,aimee lapointe terosky,Saint Joseph's University,4,226,2008,4,0,1,True
24,142840232,enrica n ruggs,University of North Carolina at Charlotte,1,13,2015,11,1,4,True
25,145564527,martijn van zomeren,,1,5,2018,3,1,4,False
