NetworkId,AuthorId,FullName,TotalPublications,TotalCitations,FirstYear,gender_only,intersectional,race_ethnicity,AuthorGender,AffiliationId,AffiliationName,mag_id,org_id,carnegie_id,carnegie_doctoral_type,carnegie_msi,carnegie_hsi,carnegie_hbcu
0,9522859,mila kryjevskaia,1,42,2013,0,0,0,woman,57328836.0,North Dakota State University,57328836.0,2340947716.0,200332.0,R2,False,False,False
1,10485675,michele g wheatly,1,23,2013,1,0,0,woman,12097938.0,West Virginia University,12097938.0,3704167016.0,238032.0,R1,False,False,False
2,15232934,carol colatrella,1,79,2006,7,0,1,woman,130701444.0,Georgia Institute of Technology,130701444.0,3565156514.0,139755.0,R1,False,False,False
3,28949107,erika marinspiotta,6,33,2010,3,1,2,woman,135310074.0,University of Wisconsin-Madison,135310074.0,676979550.0,240444.0,R1,False,False,False
4,35950822,nana oseikofi,1,5,2019,7,1,6,woman,131249849.0,Oregon State University,131249849.0,3009206492.0,209542.0,R1,False,False,False
5,39964958,kerry k karukstis,4,19,2010,2,0,0,woman,133543626.0,Harvey Mudd College,133543626.0,3575800017.0,115409.0,carnegie,False,False,False
6,41207434,janis p terpenny,1,2,2009,0,0,1,woman,,unknown,,,,unknown,False,False,False
7,52377311,jill m bystydzienski,1,67,2015,21,3,0,woman,52357470.0,Ohio State University,52357470.0,297975.0,204796.0,R1,False,False,False
8,56787795,ashli j sheidow,1,1,2018,5,0,0,woman,153297377.0,Medical University of South Carolina,153297377.0,1421804932.0,218335.0,carnegie,False,False,False
9,57944164,erika g offerdahl,2,43,2013,1,0,0,woman,57328836.0,North Dakota State University,57328836.0,2340947716.0,200332.0,R2,False,False,False
10,58797248,rhonda c magel,2,2,2013,1,0,0,woman,57328836.0,North Dakota State University,57328836.0,2340947716.0,200332.0,R2,False,False,False
11,66115545,judith k ockene,1,2,2019,95,2,3,woman,166722992.0,University of Massachusetts Medical School,166722992.0,2496406692.0,166708.0,carnegie,False,False,False
12,70032249,cynthia k riemenschneider,1,9,2010,7,1,1,woman,157394403.0,Baylor University,157394403.0,2388952165.0,223232.0,R2,False,False,False
13,77015719,dafna gelbgiser,2,162,2013,9,0,3,woman,205783295.0,Cornell University,205783295.0,1190280161.0,190415.0,R1,False,False,False
