NetworkId,AuthorId,FullName,TotalPublications,TotalCitations,FirstYear,gender_only,intersectional,race_ethnicity,AuthorGender,AffiliationId,AffiliationName,org_id,carnegie_id,carnegie_doctoral_type,carnegie_msi,carnegie_hsi,carnegie_hbcu,PrimaryField,AuthorRace
424,2167097393,jennifer sheridan,13,385,2003,10,0,0,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,psychology,white
176,2036914667,ramona gunter,2,66,2003,1,0,0,woman,14403649.0,University of Wisconsin–River Falls,2638073820.0,240471.0,carnegie,False,False,False,psychology,
290,2119748376,lori l bakken,2,71,2003,2,0,4,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,engineering,
242,2104250373,mary anne holmes,9,126,2003,7,0,0,woman,114395901.0,University of Nebraska–Lincoln,3390882279.0,181464.0,R1,False,False,False,political science,white
729,2631506828,m vega,1,0,2003,0,0,0,unknown,,unknown,,,unknown,False,False,False,psychology,
354,2143110566,idalia ramos,2,0,2003,0,0,0,woman,23968078.0,University of Puerto Rico at Humacao,680176345.0,243179.0,carnegie,True,True,False,psychology,latinx
26,151155029,amy stambach,2,66,2003,11,0,1,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,psychology,white
312,2127347012,connie frey,2,46,2003,3,0,0,woman,87547150.0,Southern Illinois University Edwardsville,1481520422.0,149231.0,R3,False,False,False,political science,
447,2183569139,a valdeswochinger,1,0,2003,0,0,0,unknown,,unknown,,,unknown,False,False,False,psychology,
714,2619562151,suzanne oconnell,7,109,2003,4,0,1,woman,100538780.0,Wesleyan University,1893812148.0,130697.0,carnegie,False,False,False,political science,white
295,2122065196,mary frank fox,9,796,2003,21,0,0,woman,130701444.0,Georgia Institute of Technology,3565156514.0,139755.0,R1,False,False,False,sociology,white
116,1958349758,molly carnes,22,748,2003,32,1,11,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,psychology,white
131,1982184149,lois ongley,2,46,2003,2,0,0,woman,875066120.0,Unity College,3142592154.0,161572.0,carnegie,False,False,False,political science,
547,2345352129,jo handelsman,12,314,2004,16,0,0,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,political science,white
193,2058183990,lisa m frehill,4,77,2004,11,1,2,woman,10052268.0,New Mexico State University,1766726279.0,188030.0,R2,True,True,False,sociology,white
356,2144346919,corri zoli,3,4,2004,2,0,0,woman,70983195.0,Syracuse University,352013657.0,196413.0,R1,False,False,False,engineering,
557,2398500202,sue v rosser,11,395,2004,41,4,3,woman,130701444.0,Georgia Institute of Technology,3565156514.0,139755.0,R1,False,False,False,sociology,white
206,2072781510,geraldine l richmond,1,5,2004,9,0,2,woman,181233156.0,University of Oregon,3965217432.0,209551.0,R1,False,False,False,sociology,white
426,2168007699,annabelle foos,1,2,2004,0,0,0,woman,,unknown,,,unknown,False,False,False,political science,
677,2598651457,shobha k bhatia,3,4,2004,6,0,0,woman,,unknown,,,unknown,False,False,False,engineering,south asian
278,2115280472,cristina gonzalez,1,36,2004,1,0,0,woman,,unknown,,,unknown,False,False,False,medicine,
237,2103089191,jessi l smith,11,197,2004,15,0,3,woman,23732399.0,Montana State University,4012281303.0,180461.0,R1,False,False,False,psychology,white
667,2593615101,t bhatia,1,0,2004,0,0,0,unknown,,unknown,,,unknown,False,False,False,engineering,
41,252819215,jammie bentonspeyers,1,4,2004,0,0,0,woman,,unknown,,,unknown,False,False,False,psychology,
92,1663406023,kathryn scantlebury,1,5,2004,25,4,3,woman,86501945.0,University of Delaware,2223053423.0,130943.0,R1,False,False,False,sociology,white
162,2016058877,cecily jeser cannavale,1,4,2004,0,0,0,woman,,unknown,,,unknown,False,False,False,psychology,
741,2646588658,ruth e fassinger,1,5,2004,48,1,6,woman,178102782.0,John F. Kennedy University,1566352551.0,116712.0,R3,True,True,False,sociology,
190,2053481408,debbie a niemeier,2,37,2004,1,0,4,woman,84218800.0,"University of California, Davis",306192696.0,110644.0,R1,False,False,False,medicine,white
482,2251261744,carol b muller,3,1,2005,8,2,1,woman,,unknown,,,unknown,False,False,False,engineering,
719,2625075936,patricia hyer,2,3,2005,1,0,0,woman,,unknown,,,unknown,False,False,False,political science,
503,2276880987,margaret layne,5,6,2005,0,0,0,woman,,unknown,,,unknown,False,False,False,economics,
194,2059196163,catherine c eckel,1,3,2005,2,0,1,woman,,unknown,,,unknown,False,False,False,sociology,
326,2131339746,stacie e geller,1,42,2005,5,0,1,woman,,unknown,,,unknown,False,False,False,psychology,
785,2692471949,donna e shalala,1,185,2005,3,0,1,woman,,unknown,,,unknown,False,False,False,political science,
199,2062298088,donna j nelson,4,166,2005,4,0,2,woman,8692664.0,University of Oklahoma,1914578164.0,207500.0,R1,False,False,False,political science,white
804,2723366132,deborah j obannon,2,15,2005,0,0,0,woman,,unknown,,,unknown,False,False,False,political science,
188,2050692601,beth a montelone,6,3,2005,1,0,1,woman,189590672.0,Kansas State University,1679301981.0,155399.0,R1,False,False,False,psychology,white
85,1459411903,mary ballyk,1,1,2005,0,0,0,woman,10052268.0,New Mexico State University,1766726279.0,188030.0,R2,True,True,False,biology,
212,2088870278,eve fine,6,281,2005,3,0,0,woman,135310074.0,University of Wisconsin-Madison,676979550.0,240444.0,R1,False,False,False,political science,white
740,2645521448,nancy cantor,1,185,2005,2,0,0,woman,,unknown,,,unknown,False,False,False,political science,
113,1940731031,elizabeth g creamer,5,12,2005,2,0,0,woman,859038795.0,Virginia Tech,2324274490.0,233921.0,R1,False,False,False,engineering,white
848,2792214781,david o renz,2,15,2005,0,0,0,man,,unknown,,,unknown,False,False,False,sociology,
723,2627519896,barbara grosz,1,185,2005,1,0,0,woman,,unknown,,,unknown,False,False,False,political science,
666,2593122818,r kelly,1,0,2005,0,0,0,unknown,,unknown,,,unknown,False,False,False,engineering,
918,2970707962,hailey christine,1,0,2005,0,0,0,woman,,unknown,,,unknown,False,False,False,engineering,
916,2970063226,mary feng,1,0,2005,0,0,0,woman,,unknown,,,unknown,False,False,False,engineering,
137,1988411310,michael r golinski,1,1,2005,0,0,0,man,10052268.0,New Mexico State University,1766726279.0,188030.0,R2,True,True,False,biology,
744,2651045609,christine hult,1,67,2005,0,0,0,woman,,unknown,,,unknown,False,False,False,sociology,
517,2303361199,e barany,1,1,2005,0,0,0,man,10052268.0,New Mexico State University,1766726279.0,188030.0,R2,True,True,False,biology,
58,386376997,s marie mccarther,2,15,2005,0,0,0,unknown,,unknown,,,unknown,False,False,False,sociology,
274,2114416233,ann q gates,1,0,2005,0,0,0,woman,,unknown,,,unknown,False,False,False,sociology,
111,1930904789,ronda roberts callister,3,218,2005,1,0,0,man,121980950.0,Utah State University,961439496.0,230728.0,R2,False,False,False,political science,white
919,2970779527,ryan dupont,1,0,2005,0,0,0,man,,unknown,,,unknown,False,False,False,engineering,
733,2636397132,kimberly a sullivan,3,79,2005,1,0,0,woman,121980950.0,Utah State University,961439496.0,230728.0,R2,False,False,False,engineering,white
582,2473694256,ruth a dyer,6,3,2005,1,0,1,woman,189590672.0,Kansas State University,1679301981.0,155399.0,R1,False,False,False,business,white
706,2615665045,cecily jesercannavale,1,9,2005,0,0,0,woman,10052268.0,New Mexico State University,1766726279.0,188030.0,R2,True,True,False,sociology,
614,2514294625,lauren ketcham,1,9,2005,0,0,0,woman,10052268.0,New Mexico State University,1766726279.0,188030.0,R2,True,True,False,sociology,
763,2671381104,virginia hinshaw,1,185,2005,1,0,0,woman,,unknown,,,unknown,False,False,False,political science,
411,2161661383,judy m vance,3,1,2005,0,0,1,woman,173911158.0,Iowa State University,4075009238.0,153603.0,R1,False,False,False,engineering,white
304,2125072794,cora bagley marrett,1,185,2005,2,0,0,woman,,unknown,,,unknown,False,False,False,political science,
849,2792697733,linda garavalia,2,15,2005,0,0,0,woman,,unknown,,,unknown,False,False,False,sociology,
197,2060112289,joann s lighty,2,1,2005,0,0,0,woman,223532165.0,University of Utah,1462150925.0,230764.0,R1,False,False,False,engineering,white
970,3133603448,valerie davidson,2,4,2005,0,0,0,woman,91275662.0,Science and Engineering Research Council,4272006099.0,,other,False,False,False,sociology,
83,1343320112,jennifer chougreen,2,1,2005,0,0,0,woman,,unknown,,,unknown,False,False,False,engineering,
661,2586508704,denice denton,1,185,2005,2,0,0,woman,,unknown,,,unknown,False,False,False,political science,white
238,2103470273,manuela romero,1,0,2005,0,0,0,woman,,unknown,,,unknown,False,False,False,sociology,
668,2594385766,judy raper,1,0,2006,0,0,0,woman,76835614.0,University of Missouri,270528848.0,178396.0,R1,False,False,False,engineering,
556,2381022612,suzanne e franks,1,1,2006,3,0,0,woman,,unknown,,,unknown,False,False,False,business,
516,2301080963,jeanlou chameau,1,39,2006,0,0,0,unknown,130701444.0,Georgia Institute of Technology,3565156514.0,139755.0,R1,False,False,False,sociology,
578,2468003812,eleanor palo stoller,1,87,2006,4,0,1,woman,58956616.0,Case Western Reserve University,3172241394.0,201645.0,R1,False,False,False,psychology,
219,2097435325,barbara silver,3,67,2006,2,0,0,woman,17626003.0,University of Rhode Island,162396701.0,217484.0,R2,False,False,False,psychology,white
351,2141918539,xiangfen liang,3,316,2006,4,0,0,unknown,58956616.0,Case Western Reserve University,3172241394.0,201645.0,R1,False,False,False,political science,
653,2568739552,deborah g johnson,1,47,2006,1,0,1,woman,,unknown,,,unknown,False,False,False,psychology,
