NetworkId,FullName,TotalPublications,TotalCitations,FirstYear,AuthorTopField,AuthorFieldDiversity,gender_only,intersectional,race_ethnicity,AuthorGender,AffiliationId,AffiliationName,org_id,carnegie_id,carnegie_doctoral_type,carnegie_msi,carnegie_hsi,carnegie_hbcu
22,aimee lapointe terosky,4,226.0,2008,sociology,0.4676923076923077,4,0,1,woman,51077184.0,Saint Joseph's University,3767789329.0,215770.0,carnegie,False,False,False
484,kerryann omeara,26,769.0,2008,sociology,0.3255043661547727,3,0,3,woman,66946132.0,"University of Maryland, College Park",3507754253.0,163286.0,R1,True,False,False
624,anna neumann,1,144.0,2008,sociology,0.2645502645502645,2,0,0,woman,,,,,,,,
258,elisabeth sheff,1,0.0,2010,sociology,0.3333333333333333,7,0,0,woman,,,,,,,,
375,joyce mccarl nielson,1,0.0,2010,political science,0.0,1,0,0,woman,188538660.0,University of Colorado Boulder,3311607547.0,126614.0,R1,False,False,False
453,robyn marschke,2,128.0,2007,political science,0.3333333333333333,2,0,0,woman,114526571.0,Concordia College,2009072930.0,173300.0,carnegie,False,False,False
521,p rankin,3,128.0,2004,physics,0.916194727298089,2,0,0,woman,188538660.0,University of Colorado Boulder,3311607547.0,126614.0,R1,False,False,False
598,rachel w kallen,3,3.0,2014,psychology,0.4238310708898944,2,1,1,woman,63135867.0,University of Cincinnati,3740284992.0,201885.0,R1,False,False,False
83,stacie f holloway,4,5.0,2014,psychology,0.4857142857142857,2,1,1,woman,63135867.0,University of Cincinnati,3740284992.0,201885.0,R1,False,False,False
322,steve howe,2,0.0,2014,psychology,0.5422832980972516,2,0,0,man,219193219.0,Purdue University,3208971139.0,243780.0,R1,False,False,False
57,katherine j kuchenbecker,1,0.0,2007,computer science,0.3602978941961993,0,0,0,woman,79576946.0,University of Pennsylvania,2811053647.0,215062.0,R1,False,False,False
91,jennifer chougreen,2,1.0,2005,unknown,0.0,0,0,0,woman,,,,,,,,
