aid1,aid2,PublicationId,Year
434,610,2032662118,2000
116,290,2058945027,2003
26,176,1991049437,2003
116,424,2058945027,2003
290,424,2058945027,2003
131,242,2081438702,2003
354,741,2148797410,2003
447,741,2148797410,2003
242,312,2081438702,2003
242,725,2081438702,2003
312,725,2081438702,2003
354,447,2148797410,2003
131,312,2081438702,2003
131,725,2081438702,2003
356,612,2594096449,2004
424,549,2186970589,2004
116,549,2186970589,2004
116,424,2186970589,2004
92,753,2023216257,2004
676,686,2594096449,2004
206,753,2023216257,2004
92,206,2023216257,2004
356,676,2594096449,2004
612,686,2594096449,2004
612,676,2594096449,2004
41,162,2917471711,2004
41,193,2917471711,2004
162,193,2917471711,2004
426,725,141178354,2004
242,725,141178354,2004
242,426,141178354,2004
190,278,2040889750,2004
356,686,2594096449,2004
212,424,2086672633,2005
116,668,2096582896,2005
116,559,2096582896,2005
116,549,2096582896,2005
58,828,2492841122,2005
116,304,2096582896,2005
116,212,2096582896,2005
116,549,2086672633,2005
58,876,2492841122,2005
58,877,2492841122,2005
116,424,2096582896,2005
116,752,2096582896,2005
356,686,2594912664,2005
356,674,2594912664,2005
356,675,2594912664,2005
356,1026,2594912664,2005
674,686,2594912664,2005
674,1026,2594912664,2005
85,137,2014704677,2005
85,518,2014704677,2005
424,549,1989859713,2005
116,424,2086672633,2005
116,549,1989859713,2005
212,326,2086672633,2005
137,518,2014704677,2005
828,876,2492841122,2005
668,781,2096582896,2005
188,585,2614891545,2005
781,806,2096582896,2005
752,806,2096582896,2005
559,781,2096582896,2005
238,274,96392772,2005
734,781,2096582896,2005
752,781,2096582896,2005
734,806,2096582896,2005
621,715,2244732202,2005
734,752,2096582896,2005
668,806,2096582896,2005
116,424,1989859713,2005
876,877,2492841122,2005
668,752,2096582896,2005
559,806,2096582896,2005
212,549,2086672633,2005
559,752,2096582896,2005
828,877,2492841122,2005
193,621,2244732202,2005
326,424,2086672633,2005
326,549,2086672633,2005
424,549,2086672633,2005
757,760,1583971066,2005
111,760,1583971066,2005
111,757,1583971066,2005
668,734,2096582896,2005
26,176,1987534390,2005
674,675,2594912664,2005
675,1026,2594912664,2005
116,806,2096582896,2005
304,549,2096582896,2005
212,806,2096582896,2005
212,668,2096582896,2005
113,194,2686377191,2005
113,730,2686377191,2005
113,802,2686377191,2005
212,304,2096582896,2005
212,424,2096582896,2005
194,730,2686377191,2005
194,802,2686377191,2005
559,668,2096582896,2005
730,802,2686377191,2005
212,559,2096582896,2005
212,734,2096582896,2005
212,781,2096582896,2005
956,958,2735386739,2005
956,959,2735386739,2005
958,959,2735386739,2005
190,197,2736076540,2005
190,411,2736076540,2005
197,411,2736076540,2005
675,686,2594912664,2005
193,715,2244732202,2005
212,549,2096582896,2005
549,806,2096582896,2005
212,752,2096582896,2005
549,752,2096582896,2005
549,781,2096582896,2005
83,482,2613134743,2005
116,212,2086672633,2005
116,326,2086672633,2005
559,734,2096582896,2005
116,734,2096582896,2005
116,781,2096582896,2005
424,734,2096582896,2005
304,559,2096582896,2005
304,668,2096582896,2005
304,734,2096582896,2005
304,752,2096582896,2005
686,1026,2594912664,2005
304,806,2096582896,2005
424,549,2096582896,2005
424,559,2096582896,2005
424,668,2096582896,2005
424,752,2096582896,2005
304,424,2096582896,2005
424,781,2096582896,2005
424,806,2096582896,2005
549,559,2096582896,2005
549,668,2096582896,2005
549,734,2096582896,2005
304,781,2096582896,2005
90,205,1981723444,2006
205,489,1981723444,2006
543,670,2587216311,2006
543,756,2587216311,2006
609,756,2587216311,2006
670,762,2587216311,2006
543,776,2587216311,2006
609,670,2587216311,2006
609,762,2587216311,2006
543,762,2587216311,2006
543,669,2587216311,2006
90,219,2018148378,2006
543,609,2587216311,2006
670,756,2587216311,2006
670,776,2587216311,2006
197,677,2594058811,2006
116,257,2186451362,2006
116,424,2186451362,2006
116,549,2186451362,2006
116,617,2186451362,2006
257,424,2186451362,2006
609,776,2587216311,2006
672,677,2594058811,2006
2,295,1966733052,2006
669,670,2587216311,2006
116,424,2108672331,2006
669,762,2587216311,2006
411,677,2594058811,2006
295,660,253939971,2006
617,911,2899255658,2006
653,911,2899255658,2006
188,585,2775384779,2006
617,653,2899255658,2006
558,585,2775384779,2006
295,559,253939971,2006
188,558,2775384779,2006
112,585,2775384779,2006
112,558,2775384779,2006
112,188,2775384779,2006
116,301,2108672331,2006
116,549,2108672331,2006
301,424,2108672331,2006
301,549,2108672331,2006
559,660,253939971,2006
101,199,2091195422,2006
424,549,2108672331,2006
188,742,2611567586,2006
455,693,2614886817,2006
609,669,2587216311,2006
669,776,2587216311,2006
669,756,2587216311,2006
411,672,2594058811,2006
209,852,2041641604,2006
756,762,2587216311,2006
606,852,2041641604,2006
549,617,2186451362,2006
265,295,2071818443,2006
76,606,2041641604,2006
76,351,2041641604,2006
630,818,2018148378,2006
90,818,2018148378,2006
153,219,2018148378,2006
153,340,2018148378,2006
153,630,2018148378,2006
585,742,2611567586,2006
153,818,2018148378,2006
76,209,2041641604,2006
219,818,2018148378,2006
340,818,2018148378,2006
219,630,2018148378,2006
257,549,2186451362,2006
257,617,2186451362,2006
424,617,2186451362,2006
517,559,2038326973,2006
424,549,2186451362,2006
197,672,2594058811,2006
219,340,2018148378,2006
188,585,2611567586,2006
340,630,2018148378,2006
87,585,2611567586,2006
197,411,2594058811,2006
87,742,2611567586,2006
45,677,2594058811,2006
45,672,2594058811,2006
45,411,2594058811,2006
45,197,2594058811,2006
762,776,2587216311,2006
756,776,2587216311,2006
90,153,2018148378,2006
90,489,1981723444,2006
90,340,2018148378,2006
581,606,2041641604,2006
567,763,2592565443,2006
209,351,2041641604,2006
