PublicationId,Doi,PaperTitle,BookTitle,OriginalTitle,Year,Date,JournalId,Volume,Issue,FirstPage,LastPage,CitationCount,ADVANCEtype,JournalName
2138917348.0,10.1615/JWOMENMINORSCIENENG.V13.I3.10,the advance mentoring for leadership lunch series for women faculty in stem at the university of washington,,The ADVANCE Mentoring-for-Leadership Lunch Series for Women Faculty in STEM at the University of Washington,2007,1/1/07,167998872,13,3,191,206,10,,journal of women and minorities in science and engineering
2603646149.0,,searching for excellence and diversity does training faculty search committees improve hiring of women,,Searching For Excellence And Diversity: Does Training Faculty Search Committees Improve Hiring Of Women?,2007,6/24/07,,,,,,1,,
2169557639.0,10.1073/PNAS.1510649112,quality of evidence revealing subtle gender biases in science is in the eye of the beholder,,Quality of evidence revealing subtle gender biases in science is in the eye of the beholder.,2015,10/27/15,125754415,112,43,13201,13206,108,gender_only,proceedings of the national academy of sciences of the united states of america
1494089855.0,10.1111/JOSI.12087,using experiential learning to increase the recognition of everyday sexism as harmful the wages intervention,,Using Experiential Learning to Increase the Recognition of Everyday Sexism as Harmful: The WAGES Intervention,2014,12/1/14,168863142,70,4,703,721,62,gender_only,journal of social issues
2978726897.0,10.1080/10899995.2019.1656522,examining intersectionality and inclusivity in geosciences education research a synthesis of the literature 2008 2018,,Examining intersectionality and inclusivity in geosciences education research: A synthesis of the literature 2008–2018,2019,9/30/19,2765076859,67,4,505,517,7,gender_only,journal of geoscience education
2902501519.0,10.1177/1523422318814547,advancing women academic faculty in stem careers the role of critical hrd in supporting diversity and inclusion,,ADVANCING Women Academic Faculty in STEM Careers: The Role of Critical HRD in Supporting Diversity and Inclusion:,2019,2/1/19,49321836,21,1,72,91,6,intersectional,advances in developing human resources
2889565747.0,,where are the women of color data on african american hispanic and native american faculty in stem,,"Where Are the Women of Color? Data on African American, Hispanic, and Native American Faculty in STEM",2010,3/1/10,2764373953,39,4,8,,27,,the journal of college science teaching
2186451362.0,,evaluation of the gender pay equity study and equity of faculty salaries policy at the university of wisconsin madison,,EVALUATION OF THE GENDER PAY EQUITY STUDY AND EQUITY OF FACULTY SALARIES POLICY AT THE UNIVERSITY OF WISCONSIN-MADISON,2006,1/1/06,,,,,,0,,
2963333241.0,10.5399/OSU/ADVJRNL.1.2.1,building a framework to advance the careers of women in stem at predominantly undergraduate institutions,,Building a Framework to Advance the Careers of Women in STEM at Predominantly Undergraduate Institutions,2019,6/19/19,,1,2,9160,,0,,
2014396719.0,10.1007/S11199-012-0181-Z,how to talk about gender inequity in the workplace using wages as an experiential learning tool to reduce reactance and promote self efficacy,,How to Talk about Gender Inequity in the Workplace: Using WAGES as an Experiential Learning Tool to Reduce Reactance and Promote Self-Efficacy,2012,8/5/12,73388012,67,11,605,616,26,gender_only,sex roles
2325288501.0,10.1063/1.4937709,combating isolation building mutual mentoring networks,,Combating isolation: Building mutual mentoring networks,2015,12/31/15,,1697,1,120004,,0,,
3091854486.0,,transforming virginia tech lessons learned from advancevt,,Transforming Virginia Tech: Lessons Learned from AdvanceVT,2014,1/27/14,,,,,,0,,
2591803157.0,10.3390/SOCSCI6010025,collaboration and gender equity among academic scientists,,Collaboration and Gender Equity among Academic Scientists,2017,3/4/17,48985842,6,1,25,,13,,the social sciences
2101407448.0,,a national analysis of diversity in science and engineering faculties at research universities,,A NATIONAL ANALYSIS OF DIVERSITY IN SCIENCE AND ENGINEERING FACULTIES AT RESEARCH UNIVERSITIES,2005,1/1/05,,,,,,134,,
2594912664.0,,conference overview and summary advance leadership and institutional transformation conference,,Conference Overview and Summary.: Advance Leadership and Institutional Transformation Conference.,2005,1/1/05,,,,,,0,,
2157247678.0,10.2979/NWS.2004.16.1.50,using powre to advance institutional barriers identified by women scientists and engineers,,Using POWRE to ADVANCE: Institutional Barriers Identified by Women Scientists and Engineers,2004,5/27/04,82796368,16,1,50,78,66,,feminist formations
2997461858.0,10.1007/S10755-019-09490-W,the terrapin time initiative a workshop to enhance alignment between faculty work priorities and time use,,The Terrapin Time Initiative: A Workshop to Enhance Alignment between Faculty Work Priorities and Time-Use,2020,4/1/20,53132383,45,2,165,179,1,,innovative higher education
1981239453.0,10.1029/2012EO410011,networking as a tool for earth science women to build community and succeed,,Networking as a tool for Earth science women to build community and succeed,2012,10/9/12,168828829,93,41,406,407,4,,eos transactions american geophysical union
2419186475.0,10.1038/NJ7066-392B,lessons in professorship,,Lessons in professorship.,2005,11/17/05,137773608,438,7066,392,392,0,,nature
2769307226.0,,women in global science advancing academic careers through international collaboration,,Women in Global Science: Advancing Academic Careers through International Collaboration,2017,3/21/17,,,,,,12,,
1566488843.0,10.1175/BAMS-D-15-00040.1,the earth science women s network eswn community driven mentoring for women in the atmospheric sciences,,The Earth Science Women’s Network (ESWN): Community-Driven Mentoring for Women in the Atmospheric Sciences,2016,4/8/16,140302479,97,3,345,354,7,,bulletin of the american meteorological society
628475466.0,10.1037/11546-000,why aren t more women in science top researchers debate the evidence,Why aren't more women in science?: Top researchers debate the evidence.,Why aren't more women in science?: Top researchers debate the evidence.,2007,1/1/07,,,,,,226,gender_only,
2071943011.0,10.1080/17457823.2014.911665,examining the flexibility bind in american tenure and promotion processes an institutional ethnographic approach,,Examining the flexibility bind in American tenure and promotion processes: an institutional ethnographic approach,2014,6/26/14,174998657,9,3,328,342,6,,ethnography and education
1802066388.0,,isu advance collaborative transformation project rounds 1 and 2 focal department synthesis report,,ISU ADVANCE Collaborative Transformation Project: Rounds 1 and 2 - Focal Department Synthesis Report,2010,1/1/10,,,,,,3,,
2045156660.0,10.1061/(ASCE)LM.1943-5630.0000080,successful leadership development for women stem faculty,,Successful Leadership Development for Women STEM Faculty,2010,10/1/10,58954801,10,4,167,173,14,,leadership and management in engineering
2474496352.0,,accelerating change for women faculty of color in stem policy action and collaboration,,"Accelerating Change for Women Faculty of Color in STEM: Policy, Action, and Collaboration.",2013,5/1/13,,,,,,4,race_ethnicity,
2119945821.0,10.1111/J.1468-0432.2009.00510.X,unsettling universities incongruous gendered bureaucratic structures a case study approach,,"Unsettling Universities' Incongruous, Gendered Bureaucratic Structures: A Case-study Approach",2011,3/1/11,172342871,18,2,202,230,159,,gender work and organization
2491425224.0,10.1108/S1529-212620140000019012,minimizing the influence of gender bias on the faculty search process,,Minimizing the Influence of Gender Bias on the Faculty Search Process,2014,10/6/14,,19,,,,13,,
2395472943.0,,an analysis of female stem faculty at public two year institutions,,An Analysis of Female STEM Faculty at Public Two-Year Institutions,2011,6/26/11,,,,,,1,,
2529583907.0,,women in university leadership positions comparing institutions with strong and weak gender equity track records,,Women in University Leadership Positions: Comparing Institutions with Strong and Weak Gender Equity Track Records,2010,2/15/10,2764354457,,,,,1,gender_only,women in engineering proactive network
2917471711.0,,women in engineering a review of the 2003 literature,,WOMEN IN ENGINEERING: A Review of the 2003 Literature,2004,1/1/04,,,,,,4,,
2750644320.0,,satisfaction of female faculty at two year schools,,Satisfaction of Female Faculty at Two-Year Schools,2011,6/26/11,,,,,,0,,
2594554475.0,10.1007/S10755-017-9391-1,reducing inequality in higher education the link between faculty empowerment and climate and retention,,Reducing Inequality in Higher Education: The Link between Faculty Empowerment and Climate and Retention.,2017,3/1/17,53132383,42,5,391,405,5,,innovative higher education
2915714782.0,,advancevt annual report year 3 september 2005 august 2006,,AdvanceVT Annual Report : Year 3 : September 2005 – August 2006,2006,7/14/06,,,,,,0,,
2611229285.0,,women stem faculty at ohio state resource allocation and department climate,,Women STEM Faculty at Ohio State: Resource Allocation and Department Climate,2012,7/6/12,,,,,,4,gender_only,
2766120623.0,10.28945/3664,faculty agency in applying for promotion to professor,,Faculty Agency in Applying for Promotion to Professor,2017,2/14/17,2737377324,2,,59,75,1,,journal for the study of postsecondary and tertiary education
2165564781.0,,responses to discrimination relationships between social support seeking core self evaluations and withdrawal behaviors,,"Responses to discrimination: Relationships Between Social Support Seeking, Core Self-Evaluations, and Withdrawal Behaviors",2015,7/7/15,2751751161,,,,,0,,social science research network
2540534248.0,10.1037/OCP0000060,bending without breaking a two study examination of employee resilience in the face of job insecurity,,Bending without breaking: A two-study examination of employee resilience in the face of job insecurity.,2018,1/1/18,3481703,23,1,112,126,37,,journal of occupational health psychology
2146861327.0,10.1007/978-3-319-08891-4_15,women in stem family related challenges and initiatives,,Women in STEM: Family-Related Challenges and Initiatives,2015,1/1/15,,,,291,311,10,gender_only,
2478444536.0,10.4135/9781483384740.N13,the link between feminist theory and methods in experimental research,Handbook of Feminist Research: Theory and Praxis,The Link Between Feminist Theory and Methods in Experimental Research,2012,1/1/12,,,,264,289,0,gender_only,
2580916631.0,,career success for female stem faculty at public two year institutions,,Career Success For Female Stem Faculty At Public Two Year Institutions,2010,6/20/10,,,,,,1,,
2960918349.0,,advance women s leadership at the university of delaware,,ADVANCE Women’s Leadership at the University of Delaware,2019,4/14/19,,,,,,0,gender_only,
